"match_id","time","home_fault","card","away_fault","info"
17653,"68","Haberer J. ","yellow card","",NA
24563,"64","Gomez A. ","yellow card","",NA
24563,"80","Palomino J. ","yellow card","",NA
24563,"82","Petagna A. ","yellow card","",NA
24564,"33","Calhanoglu H. ","yellow card","",NA
24564,"62","Biglia L. ","yellow card","",NA
24564,"80","Calhanoglu H. ","red card","",NA
24567,"26","de Vrij S. ","yellow card","",NA
24567,"53","Immobile C. ","yellow card","",NA
24569,"90+4","Rincon T. ","yellow card","",NA
24569,"90+5","","yellow card"," Valoti M.",NA
24569,"90+7","","red card"," Zuculini B.",NA
30333,"14","Pierie K. ","yellow card","",NA
30333,"24","","yellow card"," Veltman J.",NA
30333,"34","","yellow card"," De Ligt M.",NA
30333,"42","Hoegh D. ","yellow card","",NA
30333,"50","Thorsby M. ","yellow card","",NA
30333,"58","","yellow card"," Schone L.",NA
30333,"74","Woudenberg L. ","yellow card","",NA
30333,"90","Mihajlovic N. ","yellow card","",NA
30334,"3","Buttner A. ","yellow card","",NA
30334,"56","Kashia G. ","yellow card","",NA
30334,"58","","yellow card"," Labyad Z.",NA
30334,"65","","yellow card"," van der Meer R.",NA
41158,"36","Nacho ","yellow card","",NA
41158,"65","","yellow card"," Sanchez S.",NA
41158,"77","Casemiro ","yellow card","",NA
41158,"90","","yellow card"," Caricol A.",NA
41159,"18","Gaya J. ","yellow card","",NA
41159,"84","Parejo D. ","yellow card","",NA
41159,"84","Zaza S. ","yellow card","",NA
41160,"31","Hernandez R. ","yellow card","",NA
41160,"47","Alvaro ","yellow card","",NA
41162,"66","Navas R. ","yellow card","",NA
41162,"66","Illarramendi A. ","yellow card","",NA
41162,"87","Llorente D. ","yellow card","",NA
45273,"26","Medel G. ","yellow card","",NA
45273,"29","","yellow card"," Yilmaz B.",NA
45273,"36","","yellow card"," Hubocan T.",NA
